sofifa_id,overall_2021,position,value_eur_2021
158023,92.0,forward,13513486.0
20801,92.0,forward,11513372.0
190871,90.0,forward,17361418.0
200389,89.0,keeper,5759472.0
183277,89.0,forward,16287628.0
192985,89.0,mid,13457700.0
192448,90.0,keeper,5944596.0
203376,89.0,back,7351246.0
177003,89.0,mid,8935888.0
209331,89.0,forward,14814174.0
231747,89.0,forward,17473804.0
201024,89.0,back,7353270.0
202126,88.0,forward,11288102.0
212831,90.0,keeper,5708796.0
193080,89.0,keeper,5828926.0
215914,88.0,mid,10466618.0
138956,88.0,back,4671237.0
153079,88.0,forward,10687892.0
155862,88.0,back,5619374.0
176580,88.0,forward,10095070.0
188545,88.0,forward,10350952.0
189511,88.0,mid,9680340.0
194765,88.0,forward,13732452.0
211110,88.0,mid,17092700.0
195864,88.0,mid,11808816.0
210257,89.0,keeper,5910510.0
202652,88.0,forward,14409106.0
190460,87.0,mid,12125086.0
192119,88.0,keeper,5303447.0
152729,87.0,back,5001166.0
162835,87.0,keeper,2235646.0
167495,88.0,keeper,2693661.0
167948,87.0,keeper,2774207.0
168542,87.0,mid,7470292.0
179813,87.0,forward,9500376.0
182493,87.0,back,4445557.0
182521,87.0,mid,10615800.0
188350,87.0,mid,11253642.0
188567,87.0,forward,10582790.0
208722,87.0,forward,14178970.0
212218,88.0,back,7658714.0
218667,87.0,forward,15313224.0
200145,87.0,mid,8731234.0
200104,87.0,forward,12935122.0
135507,87.0,mid,5656613.0
164240,86.0,back,4446398.0
165153,87.0,forward,10366748.0
172871,87.0,back,5878557.0
175943,87.0,forward,11783452.0
178603,87.0,back,7096657.0
184087,87.0,back,6996186.0
189332,87.0,back,10456654.0
189509,87.0,mid,14553142.0
193041,87.0,keeper,3715298.0
198219,87.0,forward,15972442.0
222492,86.0,forward,13216626.0
207865,86.0,back,8155272.0
232363,86.0,back,7564180.0
199556,86.0,mid,13681368.0
205600,86.0,back,8092921.0
186153,86.0,keeper,3696903.0
212622,86.0,back,11521064.0
197781,86.0,mid,14197940.0
201942,86.0,forward,13080082.0
168651,85.0,mid,7152016.0
180206,86.0,mid,8013798.0
183898,85.0,forward,7833548.0
184344,86.0,back,4932400.0
189242,86.0,forward,14407508.0
189513,85.0,mid,8282776.0
189596,86.0,mid,8582948.0
192387,85.0,forward,9194286.0
193301,86.0,forward,10444520.0
235243,86.0,back,8343792.0
230621,86.0,keeper,4418702.0
228702,86.0,mid,12348462.0
201535,86.0,back,8284327.0
212190,86.0,back,7265032.0
223848,85.0,mid,11677554.0
231866,86.0,mid,10977324.0
208421,85.0,mid,11642066.0
209499,86.0,mid,9899848.0
216267,86.0,back,11337216.0
216460,85.0,back,7206362.0
220440,86.0,back,8553934.0
212198,85.0,mid,11694608.0
199482,85.0,keeper,3376442.0
185122,85.0,keeper,3420253.0
189117,85.0,keeper,3361619.0
192505,85.0,forward,8176789.0
192774,85.0,back,6510477.0
194404,85.0,keeper,3853226.0
197445,85.0,back,8037368.0
201399,85.0,forward,9159300.0
204963,85.0,back,8193051.0
208670,85.0,mid,9583162.0
41236,83.0,forward,3269634.0
143076,84.0,mid,7216660.0
167664,85.0,forward,5875870.0
170890,85.0,mid,5610568.0
173731,85.0,forward,8654462.0
176676,85.0,back,8895420.0
177413,85.0,mid,6298214.0
191043,85.0,back,6538846.0
192629,84.0,forward,6546448.0
193747,85.0,mid,8466176.0
198710,85.0,mid,8364764.0
199914,85.0,mid,8329298.0
233049,84.0,mid,14172620.0
235790,84.0,mid,11961838.0
231443,85.0,forward,13376838.0
206585,85.0,keeper,3387574.0
210514,85.0,back,10244740.0
211117,84.0,mid,11427084.0
220814,84.0,back,7603776.0
