sofifa_id,overall_2021,position,wage_eur_2021
158023,92.0,forward,63696.0
20801,92.0,forward,75668.0
190871,90.0,forward,54382.0
200389,89.0,keeper,54587.0
183277,89.0,forward,76401.0
192985,89.0,mid,82668.0
192448,90.0,keeper,74945.0
203376,89.0,back,55928.0
177003,89.0,mid,56886.0
209331,89.0,forward,54370.0
231747,89.0,forward,50954.0
201024,89.0,back,57423.0
202126,88.0,forward,54743.0
212831,90.0,keeper,63670.0
193080,89.0,keeper,61595.0
215914,88.0,mid,76958.0
138956,88.0,back,45387.0
153079,88.0,forward,56729.0
155862,88.0,back,61411.0
176580,88.0,forward,68407.0
188545,88.0,forward,51379.0
189511,88.0,mid,65777.0
194765,88.0,forward,64567.0
211110,88.0,mid,52570.0
195864,88.0,mid,60345.0
210257,89.0,keeper,59959.0
202652,88.0,forward,55548.0
190460,87.0,mid,64919.0
192119,88.0,keeper,56057.0
152729,87.0,back,58929.0
162835,87.0,keeper,34322.0
167495,88.0,keeper,45407.0
167948,87.0,keeper,43501.0
168542,87.0,mid,48821.0
179813,87.0,forward,54374.0
182493,87.0,back,51379.0
182521,87.0,mid,66090.0
188350,87.0,mid,40730.0
188567,87.0,forward,48161.0
208722,87.0,forward,51810.0
212218,88.0,back,72070.0
218667,87.0,forward,69975.0
200145,87.0,mid,75481.0
200104,87.0,forward,53006.0
135507,87.0,mid,29529.0
164240,86.0,back,21646.0
165153,87.0,forward,40528.0
172871,87.0,back,49369.0
175943,87.0,forward,32711.0
178603,87.0,back,45002.0
184087,87.0,back,46593.0
189332,87.0,back,35432.0
189509,87.0,mid,31858.0
193041,87.0,keeper,34220.0
198219,87.0,forward,32841.0
222492,86.0,forward,46046.0
207865,86.0,back,66273.0
232363,86.0,back,46434.0
199556,86.0,mid,39666.0
205600,86.0,back,52656.0
186153,86.0,keeper,33944.0
212622,86.0,back,53097.0
197781,86.0,mid,39767.0
201942,86.0,forward,37923.0
168651,85.0,mid,21373.0
180206,86.0,mid,19206.0
183898,85.0,forward,13405.0
184344,86.0,back,31561.0
189242,86.0,forward,13089.0
189513,85.0,mid,10879.0
189596,86.0,mid,26128.0
192387,85.0,forward,13935.0
193301,86.0,forward,20623.0
235243,86.0,back,45941.0
230621,86.0,keeper,15240.0
228702,86.0,mid,54289.0
201535,86.0,back,49540.0
212190,86.0,back,60195.0
223848,85.0,mid,35377.0
231866,86.0,mid,41076.0
208421,85.0,mid,41684.0
209499,86.0,mid,41059.0
216267,86.0,back,41808.0
216460,85.0,back,52169.0
220440,86.0,back,43742.0
212198,85.0,mid,42889.0
199482,85.0,keeper,20885.0
185122,85.0,keeper,21557.0
189117,85.0,keeper,17522.0
192505,85.0,forward,15491.0
192774,85.0,back,29785.0
194404,85.0,keeper,25230.0
197445,85.0,back,18937.0
201399,85.0,forward,21049.0
204963,85.0,back,33599.0
208670,85.0,mid,8426.0
41236,83.0,forward,7267.0
143076,84.0,mid,17830.0
167664,85.0,forward,26000.0
170890,85.0,mid,38529.0
173731,85.0,forward,38053.0
176676,85.0,back,24934.0
177413,85.0,mid,16462.0
191043,85.0,back,24837.0
192629,84.0,forward,9353.0
193747,85.0,mid,13086.0
198710,85.0,mid,28177.0
199914,85.0,mid,33167.0
233049,84.0,mid,41497.0
235790,84.0,mid,30571.0
231443,85.0,forward,45818.0
206585,85.0,keeper,24069.0
210514,85.0,back,41910.0
211117,84.0,mid,31104.0
220814,84.0,back,47213.0
230658,85.0,mid,40422.0
202556,84.0,forward,26133.0
209658,84.0,mid,37392.0
212194,84.0,mid,31925.0
213345,84.0,mid,38990.0
206113,84.0,mid,20575.0
216594,84.0,mid,11722.0
192563,84.0,keeper,23244.0
198706,84.0,mid,27923.0
212462,83.0,back,17387.0
236583,84.0,keeper,10090.0
198176,83.0,back,16136.0
201995,84.0,mid,21698.0
120533,82.0,back,5876.0
162347,83.0,mid,20884.0
167628,83.0,keeper,18430.0
168435,83.0,keeper,17783.0
171877,83.0,mid,16364.0
172879,83.0,back,31416.0
176266,83.0,mid,19875.0
176635,84.0,mid,29854.0
177610,84.0,mid,25208.0
177683,83.0,keeper,10801.0
180930,83.0,forward,25504.0
181291,84.0,mid,27519.0
181458,84.0,mid,24724.0
181783,83.0,forward,22951.0
181872,83.0,mid,47107.0
183907,84.0,back,33371.0
184432,84.0,back,37647.0
185020,83.0,mid,21028.0
186942,84.0,mid,25560.0
187961,83.0,mid,10673.0
188377,84.0,back,32850.0
190286,83.0,mid,9648.0
190483,84.0,mid,21758.0
197965,83.0,mid,13911.0
199434,83.0,mid,11572.0
200647,83.0,forward,24470.0
204485,84.0,forward,23551.0
205678,83.0,mid,21621.0
207863,83.0,back,25083.0
226271,84.0,mid,24874.0
210413,84.0,back,27142.0
226226,84.0,mid,21931.0
231281,83.0,back,38789.0
232432,84.0,forward,40217.0
205175,83.0,forward,25752.0
211300,84.0,forward,29911.0
212523,83.0,mid,25602.0
213331,83.0,back,36188.0
219683,83.0,mid,39230.0
221087,83.0,keeper,18588.0
224411,83.0,mid,21569.0
226110,84.0,mid,29076.0
229237,83.0,back,40195.0
231677,84.0,forward,33173.0
203574,84.0,back,30278.0
210008,84.0,mid,29415.0
210035,83.0,back,30880.0
212188,83.0,forward,29368.0
213565,83.0,mid,25199.0
220793,83.0,back,37496.0
220834,84.0,forward,28618.0
200458,83.0,back,30963.0
202166,83.0,mid,18506.0
204935,84.0,keeper,21911.0
208418,83.0,mid,9535.0
224179,83.0,forward,8805.0
192984,83.0,keeper,10297.0
198717,83.0,forward,11305.0
200454,83.0,forward,18400.0
201153,83.0,forward,20514.0
205693,83.0,forward,26599.0
207566,83.0,mid,14564.0
212404,83.0,mid,19692.0
217940,83.0,back,14009.0
188152,83.0,mid,19349.0
188943,83.0,keeper,8689.0
198141,83.0,back,14155.0
198950,83.0,mid,30179.0
199987,82.0,keeper,9760.0
200949,83.0,forward,21327.0
204970,83.0,forward,17318.0
205498,83.0,mid,25109.0
1179,81.0,keeper,7690.0
5479,81.0,keeper,7382.0
104389,82.0,keeper,9791.0
139720,82.0,back,8739.0
157481,82.0,back,23377.0
159261,82.0,forward,12676.0
163587,82.0,keeper,18771.0
167397,82.0,forward,16074.0
168609,82.0,back,4379.0
169416,83.0,forward,8365.0
170481,82.0,back,13686.0
178005,82.0,keeper,14110.0
178518,82.0,mid,23877.0
178562,82.0,mid,19209.0
179844,83.0,forward,19255.0
179846,83.0,mid,20431.0
179944,82.0,back,18472.0
183574,82.0,forward,17303.0
183711,82.0,mid,21340.0
