age,value_eur,international_reputation,pace,shooting,passing,dribbling,physic,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,skill_dribbling,skill_ball_control,movement_agility,movement_reactions,movement_balance,power_long_shots,mentality_positioning,mentality_penalties,mentality_composure,overall
34,7500000,2,70.0,83.0,75.0,83.0,69.0,86,64,82,83,87,77,83,83,82,86,76,0.0,80
34,7500000,2,70.0,83.0,75.0,83.0,69.0,86,64,82,83,87,77,83,83,82,86,76,0.0,80
35,5500000,2,68.0,82.0,75.0,82.0,69.0,84,63,81,82,84,77,83,83,80,85,75,86.0,80
35,5500000,2,68.0,82.0,75.0,82.0,69.0,84,63,81,82,84,77,83,83,80,85,75,86.0,80
38,1500000,3,38.0,84.0,87.0,81.0,68.0,81,44,90,80,90,69,83,60,86,79,90,0.0,80
38,1500000,3,38.0,84.0,87.0,81.0,68.0,81,44,90,80,90,69,83,60,86,79,90,0.0,80
39,1500000,3,38.0,84.0,87.0,81.0,67.0,81,42,90,84,92,59,79,60,86,84,86,85.0,80
39,1500000,3,38.0,84.0,87.0,81.0,67.0,81,42,90,84,92,59,79,60,86,84,86,85.0,80
33,3400000,3,73.0,67.0,71.0,81.0,44.0,74,58,77,80,86,83,72,90,68,80,84,0.0,76
34,375000,2,65.0,66.0,65.0,64.0,77.0,67,71,69,65,68,69,71,47,70,68,54,0.0,67
37,110000,2,44.0,64.0,59.0,64.0,72.0,66,80,70,64,73,50,63,46,52,74,67,0.0,68
35,290000,1,52.0,64.0,57.0,54.0,73.0,68,79,69,50,66,44,68,52,48,76,74,0.0,67
35,290000,1,52.0,64.0,57.0,54.0,73.0,68,79,69,50,66,44,68,52,48,76,74,0.0,66
35,290000,1,52.0,64.0,57.0,54.0,73.0,68,79,69,50,66,44,68,52,48,76,74,0.0,64
35,290000,1,52.0,64.0,57.0,54.0,73.0,68,79,69,50,66,44,68,52,48,76,74,0.0,63
35,290000,1,52.0,64.0,57.0,54.0,73.0,68,79,69,50,66,44,68,52,48,76,74,0.0,62
36,80000,1,44.0,63.0,57.0,53.0,69.0,67,78,68,49,65,44,67,52,47,67,73,66.0,67
36,80000,1,44.0,63.0,57.0,53.0,69.0,67,78,68,49,65,44,67,52,47,67,73,66.0,66
36,80000,1,44.0,63.0,57.0,53.0,69.0,67,78,68,49,65,44,67,52,47,67,73,66.0,64
36,80000,1,44.0,63.0,57.0,53.0,69.0,67,78,68,49,65,44,67,52,47,67,73,66.0,63
36,80000,1,44.0,63.0,57.0,53.0,69.0,67,78,68,49,65,44,67,52,47,67,73,66.0,62
37,160000,1,37.0,62.0,56.0,52.0,67.0,67,78,67,49,64,32,67,52,47,67,68,66.0,67
37,160000,1,37.0,62.0,56.0,52.0,67.0,67,78,67,49,64,32,67,52,47,67,68,66.0,66
37,160000,1,37.0,62.0,56.0,52.0,67.0,67,78,67,49,64,32,67,52,47,67,68,66.0,64
37,160000,1,37.0,62.0,56.0,52.0,67.0,67,78,67,49,64,32,67,52,47,67,68,66.0,63
37,160000,1,37.0,62.0,56.0,52.0,67.0,67,78,67,49,64,32,67,52,47,67,68,66.0,62
38,130000,1,38.0,59.0,58.0,53.0,69.0,62,75,68,49,63,35,67,51,47,69,68,69.0,67
38,130000,1,38.0,59.0,58.0,53.0,69.0,62,75,68,49,63,35,67,51,47,69,68,69.0,66
38,130000,1,38.0,59.0,58.0,53.0,69.0,62,75,68,49,63,35,67,51,47,69,68,69.0,64
38,130000,1,38.0,59.0,58.0,53.0,69.0,62,75,68,49,63,35,67,51,47,69,68,69.0,63
38,130000,1,38.0,59.0,58.0,53.0,69.0,62,75,68,49,63,35,67,51,47,69,68,69.0,62
39,90000,1,37.0,58.0,56.0,48.0,69.0,60,75,68,40,60,35,61,60,47,72,68,63.0,67
39,90000,1,37.0,58.0,56.0,48.0,69.0,60,75,68,40,60,35,61,60,47,72,68,63.0,66
39,90000,1,37.0,58.0,56.0,48.0,69.0,60,75,68,40,60,35,61,60,47,72,68,63.0,64
39,90000,1,37.0,58.0,56.0,48.0,69.0,60,75,68,40,60,35,61,60,47,72,68,63.0,63
39,90000,1,37.0,58.0,56.0,48.0,69.0,60,75,68,40,60,35,61,60,47,72,68,63.0,62
38,110000,1,37.0,63.0,57.0,63.0,69.0,60,61,54,65,61,62,60,65,69,62,60,71.0,62
34,230000,1,29.0,66.0,56.0,55.0,81.0,66,70,63,57,62,33,64,31,59,64,72,67.0,64
32,1300000,1,66.0,72.0,55.0,69.0,69.0,70,64,59,71,72,72,72,55,76,79,77,0.0,71
32,1300000,1,66.0,72.0,55.0,69.0,69.0,70,64,59,71,72,72,72,55,76,79,77,0.0,69
36,375000,1,66.0,70.0,55.0,67.0,68.0,69,60,58,67,68,68,67,55,72,72,76,71.0,71
36,375000,1,66.0,70.0,55.0,67.0,68.0,69,60,58,67,68,68,67,55,72,72,76,71.0,69
34,220000,1,72.0,65.0,58.0,66.0,63.0,63,54,60,64,65,75,55,81,63,64,63,74.0,64
33,2700000,2,62.0,73.0,60.0,70.0,66.0,79,81,71,68,75,69,71,60,57,83,71,75.0,75
33,290000,1,58.0,67.0,63.0,66.0,75.0,66,60,66,65,63,80,63,79,68,57,62,0.0,64
32,13000000,3,53.0,78.0,87.0,85.0,59.0,78,53,89,86,90,65,84,82,79,79,84,0.0,81
32,13000000,3,53.0,78.0,87.0,85.0,59.0,78,53,89,86,90,65,84,82,79,79,84,0.0,78
33,5500000,3,38.0,74.0,85.0,82.0,46.0,74,45,87,86,90,45,80,74,79,79,79,85.0,81
33,5500000,3,38.0,74.0,85.0,82.0,46.0,74,45,87,86,90,45,80,74,79,79,79,85.0,78
31,25500000,4,67.0,86.0,81.0,81.0,67.0,87,76,82,82,85,80,86,59,82,87,84,0.0,84
31,25500000,4,67.0,86.0,81.0,81.0,67.0,87,76,82,82,85,80,86,59,82,87,84,0.0,81
31,25500000,4,67.0,86.0,81.0,81.0,67.0,87,76,82,82,85,80,86,59,82,87,84,0.0,78
31,25500000,4,67.0,86.0,81.0,81.0,67.0,87,76,82,82,85,80,86,59,82,87,84,0.0,78
32,13500000,3,65.0,83.0,76.0,80.0,64.0,82,75,74,82,84,72,77,59,82,84,84,79.0,84
32,13500000,3,65.0,83.0,76.0,80.0,64.0,82,75,74,82,84,72,77,59,82,84,84,79.0,81
32,13500000,3,65.0,83.0,76.0,80.0,64.0,82,75,74,82,84,72,77,59,82,84,84,79.0,78
32,13500000,3,65.0,83.0,76.0,80.0,64.0,82,75,74,82,84,72,77,59,82,84,84,79.0,78
33,6500000,3,64.0,79.0,77.0,79.0,63.0,78,75,74,82,82,69,77,59,80,84,84,79.0,84
33,6500000,3,64.0,79.0,77.0,79.0,63.0,78,75,74,82,82,69,77,59,80,84,84,79.0,81
33,6500000,3,64.0,79.0,77.0,79.0,63.0,78,75,74,82,82,69,77,59,80,84,84,79.0,78
33,6500000,3,64.0,79.0,77.0,79.0,63.0,78,75,74,82,82,69,77,59,80,84,84,79.0,78
34,5500000,3,50.0,80.0,76.0,80.0,55.0,78,73,74,80,87,73,81,57,80,85,84,85.0,84
34,5500000,3,50.0,80.0,76.0,80.0,55.0,78,73,74,80,87,73,81,57,80,85,84,85.0,81
34,5500000,3,50.0,80.0,76.0,80.0,55.0,78,73,74,80,87,73,81,57,80,85,84,85.0,78
34,5500000,3,50.0,80.0,76.0,80.0,55.0,78,73,74,80,87,73,81,57,80,85,84,85.0,78
34,5500000,3,74.0,80.0,71.0,80.0,71.0,81,76,72,81,81,83,84,74,74,84,85,0.0,79
34,5500000,3,74.0,80.0,71.0,80.0,71.0,81,76,72,81,81,83,84,74,74,84,85,0.0,81
34,5500000,3,74.0,80.0,71.0,80.0,71.0,81,76,72,81,81,83,84,74,74,84,85,0.0,81
35,6500000,3,74.0,82.0,74.0,80.0,71.0,84,73,76,80,80,79,79,74,75,83,85,84.0,79
35,6500000,3,74.0,82.0,74.0,80.0,71.0,84,73,76,80,80,79,79,74,75,83,85,84.0,81
35,6500000,3,74.0,82.0,74.0,80.0,71.0,84,73,76,80,80,79,79,74,75,83,85,84.0,81
36,6500000,3,74.0,83.0,74.0,79.0,71.0,88,77,76,80,80,79,77,74,75,83,85,84.0,79
36,6500000,3,74.0,83.0,74.0,79.0,71.0,88,77,76,80,80,79,77,74,75,83,85,84.0,81
36,6500000,3,74.0,83.0,74.0,79.0,71.0,88,77,76,80,80,79,77,74,75,83,85,84.0,81
31,250000,1,54.0,64.0,54.0,59.0,69.0,66,65,61,56,68,60,61,65,62,62,70,0.0,62
31,250000,1,54.0,64.0,54.0,59.0,69.0,66,65,61,56,68,60,61,65,62,62,70,0.0,61
31,250000,1,54.0,64.0,54.0,59.0,69.0,66,65,61,56,68,60,61,65,62,62,70,0.0,62
31,250000,1,54.0,64.0,54.0,59.0,69.0,66,65,61,56,68,60,61,65,62,62,70,0.0,62
31,250000,1,54.0,64.0,54.0,59.0,69.0,66,65,61,56,68,60,61,65,62,62,70,0.0,62
32,180000,1,53.0,61.0,51.0,56.0,69.0,63,64,58,51,60,60,60,65,58,59,65,61.0,62
32,180000,1,53.0,61.0,51.0,56.0,69.0,63,64,58,51,60,60,60,65,58,59,65,61.0,61
32,180000,1,53.0,61.0,51.0,56.0,69.0,63,64,58,51,60,60,60,65,58,59,65,61.0,62
32,180000,1,53.0,61.0,51.0,56.0,69.0,63,64,58,51,60,60,60,65,58,59,65,61.0,62
32,180000,1,53.0,61.0,51.0,56.0,69.0,63,64,58,51,60,60,60,65,58,59,65,61.0,62
33,190000,1,51.0,62.0,51.0,56.0,71.0,65,66,58,53,60,57,60,65,58,61,65,62.0,62
33,190000,1,51.0,62.0,51.0,56.0,71.0,65,66,58,53,60,57,60,65,58,61,65,62.0,61
33,190000,1,51.0,62.0,51.0,56.0,71.0,65,66,58,53,60,57,60,65,58,61,65,62.0,62
33,190000,1,51.0,62.0,51.0,56.0,71.0,65,66,58,53,60,57,60,65,58,61,65,62.0,62
33,190000,1,51.0,62.0,51.0,56.0,71.0,65,66,58,53,60,57,60,65,58,61,65,62.0,62
34,160000,1,50.0,62.0,51.0,56.0,72.0,65,65,58,52,60,59,61,65,59,61,65,61.0,62
34,160000,1,50.0,62.0,51.0,56.0,72.0,65,65,58,52,60,59,61,65,59,61,65,61.0,61
34,160000,1,50.0,62.0,51.0,56.0,72.0,65,65,58,52,60,59,61,65,59,61,65,61.0,62
34,160000,1,50.0,62.0,51.0,56.0,72.0,65,65,58,52,60,59,61,65,59,61,65,61.0,62
34,160000,1,50.0,62.0,51.0,56.0,72.0,65,65,58,52,60,59,61,65,59,61,65,61.0,62
35,140000,1,49.0,62.0,51.0,56.0,72.0,65,65,58,52,60,61,61,66,59,61,67,61.0,62
35,140000,1,49.0,62.0,51.0,56.0,72.0,65,65,58,52,60,61,61,66,59,61,67,61.0,61
35,140000,1,49.0,62.0,51.0,56.0,72.0,65,65,58,52,60,61,61,66,59,61,67,61.0,62
35,140000,1,49.0,62.0,51.0,56.0,72.0,65,65,58,52,60,61,61,66,59,61,67,61.0,62
35,140000,1,49.0,62.0,51.0,56.0,72.0,65,65,58,52,60,61,61,66,59,61,67,61.0,62
37,2100000,4,70.0,77.0,63.0,73.0,63.0,88,89,71,73,78,64,77,61,52,87,81,0.0,81
36,120000,2,63.0,67.0,63.0,69.0,68.0,70,73,70,69,72,72,63,58,61,73,67,0.0,68
34,1700000,1,79.0,70.0,71.0,73.0,69.0,76,57,73,76,75,67,78,64,62,76,77,0.0,74
33,2700000,2,47.0,81.0,71.0,67.0,79.0,81,85,67,66,76,57,76,59,75,79,97,0.0,75
33,2700000,2,47.0,81.0,71.0,67.0,79.0,81,85,67,66,76,57,76,59,75,79,97,0.0,75
34,2200000,2,40.0,80.0,71.0,66.0,71.0,81,84,66,65,75,57,76,59,74,79,96,76.0,75
34,2200000,2,40.0,80.0,71.0,66.0,71.0,81,84,66,65,75,57,76,59,74,79,96,76.0,75
36,30000,1,48.0,60.0,56.0,62.0,68.0,62,59,62,63,67,50,68,50,56,67,72,0.0,61
35,525000,2,59.0,72.0,62.0,66.0,63.0,74,75,65,73,74,70,69,67,68,74,80,74.0,70
34,4300000,3,69.0,79.0,74.0,74.0,80.0,79,80,78,76,76,72,84,61,77,85,87,0.0,78
32,500000,1,67.0,63.0,55.0,62.0,78.0,65,77,62,59,62,75,68,76,59,70,62,0.0,66
32,500000,1,67.0,63.0,55.0,62.0,78.0,65,77,62,59,62,75,68,76,59,70,62,0.0,66
32,500000,1,67.0,63.0,55.0,62.0,78.0,65,77,62,59,62,75,68,76,59,70,62,0.0,62
32,500000,1,67.0,63.0,55.0,62.0,78.0,65,77,62,59,62,75,68,76,59,70,62,0.0,62
33,425000,1,67.0,62.0,54.0,63.0,77.0,62,70,61,60,61,81,65,76,58,67,62,63.0,66
33,425000,1,67.0,62.0,54.0,63.0,77.0,62,70,61,60,61,81,65,76,58,67,62,63.0,66
33,425000,1,67.0,62.0,54.0,63.0,77.0,62,70,61,60,61,81,65,76,58,67,62,63.0,62
33,425000,1,67.0,62.0,54.0,63.0,77.0,62,70,61,60,61,81,65,76,58,67,62,63.0,62
34,160000,1,66.0,58.0,50.0,59.0,72.0,58,68,60,56,58,76,64,76,57,67,61,63.0,66
34,160000,1,66.0,58.0,50.0,59.0,72.0,58,68,60,56,58,76,64,76,57,67,61,63.0,66
34,160000,1,66.0,58.0,50.0,59.0,72.0,58,68,60,56,58,76,64,76,57,67,61,63.0,62
34,160000,1,66.0,58.0,50.0,59.0,72.0,58,68,60,56,58,76,64,76,57,67,61,63.0,62
35,140000,1,55.0,60.0,50.0,58.0,70.0,62,67,54,56,56,65,61,76,56,64,59,61.0,66
35,140000,1,55.0,60.0,50.0,58.0,70.0,62,67,54,56,56,65,61,76,56,64,59,61.0,66
35,140000,1,55.0,60.0,50.0,58.0,70.0,62,67,54,56,56,65,61,76,56,64,59,61.0,62
35,140000,1,55.0,60.0,50.0,58.0,70.0,62,67,54,56,56,65,61,76,56,64,59,61.0,62
30,1500000,1,68.0,66.0,72.0,75.0,62.0,65,46,78,73,79,84,75,84,78,69,73,0.0,71
31,290000,1,53.0,65.0,49.0,53.0,82.0,65,78,57,49,64,45,60,44,64,58,63,0.0,63
31,290000,1,53.0,65.0,49.0,53.0,82.0,65,78,57,49,64,45,60,44,64,58,63,0.0,64
31,290000,1,53.0,65.0,49.0,53.0,82.0,65,78,57,49,64,45,60,44,64,58,63,0.0,65
31,290000,1,53.0,65.0,49.0,53.0,82.0,65,78,57,49,64,45,60,44,64,58,63,0.0,61
32,350000,1,53.0,65.0,49.0,53.0,82.0,64,77,56,48,63,45,59,44,63,57,62,59.0,63
32,350000,1,53.0,65.0,49.0,53.0,82.0,64,77,56,48,63,45,59,44,63,57,62,59.0,64
32,350000,1,53.0,65.0,49.0,53.0,82.0,64,77,56,48,63,45,59,44,63,57,62,59.0,65
32,350000,1,53.0,65.0,49.0,53.0,82.0,64,77,56,48,63,45,59,44,63,57,62,59.0,61
33,350000,1,51.0,65.0,48.0,55.0,82.0,65,77,56,52,63,45,59,44,63,62,67,59.0,63
33,350000,1,51.0,65.0,48.0,55.0,82.0,65,77,56,52,63,45,59,44,63,62,67,59.0,64
33,350000,1,51.0,65.0,48.0,55.0,82.0,65,77,56,52,63,45,59,44,63,62,67,59.0,65
33,350000,1,51.0,65.0,48.0,55.0,82.0,65,77,56,52,63,45,59,44,63,62,67,59.0,61
34,130000,1,55.0,63.0,48.0,46.0,80.0,64,64,52,43,48,48,58,54,53,64,66,59.0,63
34,130000,1,55.0,63.0,48.0,46.0,80.0,64,64,52,43,48,48,58,54,53,64,66,59.0,64
34,130000,1,55.0,63.0,48.0,46.0,80.0,64,64,52,43,48,48,58,54,53,64,66,59.0,65
34,130000,1,55.0,63.0,48.0,46.0,80.0,64,64,52,43,48,48,58,54,53,64,66,59.0,61
32,180000,1,67.0,56.0,53.0,59.0,80.0,57,61,63,62,63,47,61,47,53,60,62,0.0,61
32,180000,1,67.0,56.0,53.0,59.0,80.0,57,61,63,62,63,47,61,47,53,60,62,0.0,63
32,180000,1,67.0,56.0,53.0,59.0,80.0,57,61,63,62,63,47,61,47,53,60,62,0.0,63
32,180000,1,67.0,56.0,53.0,59.0,80.0,57,61,63,62,63,47,61,47,53,60,62,0.0,62
32,180000,1,67.0,56.0,53.0,59.0,80.0,57,61,63,62,63,47,61,47,53,60,62,0.0,59
33,220000,1,66.0,57.0,53.0,59.0,81.0,60,60,62,61,62,47,60,47,52,59,61,66.0,61
33,220000,1,66.0,57.0,53.0,59.0,81.0,60,60,62,61,62,47,60,47,52,59,61,66.0,63
33,220000,1,66.0,57.0,53.0,59.0,81.0,60,60,62,61,62,47,60,47,52,59,61,66.0,63
33,220000,1,66.0,57.0,53.0,59.0,81.0,60,60,62,61,62,47,60,47,52,59,61,66.0,62
33,220000,1,66.0,57.0,53.0,59.0,81.0,60,60,62,61,62,47,60,47,52,59,61,66.0,59
34,190000,1,66.0,57.0,53.0,59.0,81.0,58,60,62,61,62,47,59,47,52,59,61,66.0,61
34,190000,1,66.0,57.0,53.0,59.0,81.0,58,60,62,61,62,47,59,47,52,59,61,66.0,63
34,190000,1,66.0,57.0,53.0,59.0,81.0,58,60,62,61,62,47,59,47,52,59,61,66.0,63
34,190000,1,66.0,57.0,53.0,59.0,81.0,58,60,62,61,62,47,59,47,52,59,61,66.0,62
34,190000,1,66.0,57.0,53.0,59.0,81.0,58,60,62,61,62,47,59,47,52,59,61,66.0,59
35,140000,1,65.0,56.0,52.0,57.0,81.0,56,60,60,59,59,47,59,48,51,64,56,65.0,61
35,140000,1,65.0,56.0,52.0,57.0,81.0,56,60,60,59,59,47,59,48,51,64,56,65.0,63
35,140000,1,65.0,56.0,52.0,57.0,81.0,56,60,60,59,59,47,59,48,51,64,56,65.0,63
35,140000,1,65.0,56.0,52.0,57.0,81.0,56,60,60,59,59,47,59,48,51,64,56,65.0,62
35,140000,1,65.0,56.0,52.0,57.0,81.0,56,60,60,59,59,47,59,48,51,64,56,65.0,59
36,60000,1,62.0,54.0,50.0,56.0,79.0,54,58,54,57,57,47,59,49,50,58,56,57.0,61
36,60000,1,62.0,54.0,50.0,56.0,79.0,54,58,54,57,57,47,59,49,50,58,56,57.0,63
36,60000,1,62.0,54.0,50.0,56.0,79.0,54,58,54,57,57,47,59,49,50,58,56,57.0,63
36,60000,1,62.0,54.0,50.0,56.0,79.0,54,58,54,57,57,47,59,49,50,58,56,57.0,62
36,60000,1,62.0,54.0,50.0,56.0,79.0,54,58,54,57,57,47,59,49,50,58,56,57.0,59
34,1200000,1,73.0,72.0,68.0,70.0,63.0,72,58,69,69,74,71,63,69,73,74,62,61.0,71
34,1200000,1,73.0,72.0,68.0,70.0,63.0,72,58,69,69,74,71,63,69,73,74,62,61.0,74
35,2600000,1,73.0,76.0,74.0,74.0,66.0,76,58,75,74,76,78,66,71,76,80,65,61.0,71
35,2600000,1,73.0,76.0,74.0,74.0,66.0,76,58,75,74,76,78,66,71,76,80,65,61.0,74
34,375000,2,36.0,71.0,62.0,61.0,76.0,70,82,67,62,67,48,69,65,69,72,86,0.0,67
30,85500000,5,92.0,93.0,80.0,91.0,78.0,95,86,82,93,92,93,94,63,93,95,85,0.0,93
30,85500000,5,92.0,93.0,80.0,91.0,78.0,95,86,82,93,92,93,94,63,93,95,85,0.0,94
30,85500000,5,92.0,93.0,80.0,91.0,78.0,95,86,82,93,92,93,94,63,93,95,85,0.0,94
30,85500000,5,92.0,93.0,80.0,91.0,78.0,95,86,82,93,92,93,94,63,93,95,85,0.0,94
30,85500000,5,92.0,93.0,80.0,91.0,78.0,95,86,82,93,92,93,94,63,93,95,85,0.0,93
31,87000000,5,92.0,92.0,81.0,91.0,80.0,95,88,83,93,93,90,100,64,93,95,85,86.0,93
31,87000000,5,92.0,92.0,81.0,91.0,80.0,95,88,83,93,93,90,100,64,93,95,85,86.0,94
31,87000000,5,92.0,92.0,81.0,91.0,80.0,95,88,83,93,93,90,100,64,93,95,85,86.0,94
31,87000000,5,92.0,92.0,81.0,91.0,80.0,95,88,83,93,93,90,100,64,93,95,85,86.0,94
31,87000000,5,92.0,92.0,81.0,91.0,80.0,95,88,83,93,93,90,100,64,93,95,85,86.0,93
