value_eur,international_reputation,skill_moves,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,skill_dribbling,movement_reactions,mentality_positioning,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,goalkeeping_diving,goalkeeping_positioning,work_rate_rank,overall
60000,1,1,66.0,57.0,45.0,64.0,12.0,65.0,25,25,81,25,25,0.0,25,25,69,68,4,63
60000,1,1,66.0,57.0,45.0,64.0,12.0,65.0,25,25,81,25,25,0.0,25,25,69,68,4,58
60000,1,1,66.0,57.0,45.0,64.0,12.0,65.0,25,25,81,25,25,0.0,25,25,69,68,4,59
20000,1,1,52.0,54.0,45.0,63.0,12.0,58.0,8,7,67,7,13,40.0,9,11,63,63,4,63
20000,1,1,52.0,54.0,45.0,63.0,12.0,58.0,8,7,67,7,13,40.0,9,11,63,63,4,58
20000,1,1,52.0,54.0,45.0,63.0,12.0,58.0,8,7,67,7,13,40.0,9,11,63,63,4,59
10000,1,1,57.0,54.0,45.0,60.0,12.0,62.0,8,7,67,7,13,40.0,9,11,57,64,4,63
10000,1,1,57.0,54.0,45.0,60.0,12.0,62.0,8,7,67,7,13,40.0,9,11,57,64,4,58
10000,1,1,57.0,54.0,45.0,60.0,12.0,62.0,8,7,67,7,13,40.0,9,11,57,64,4,59
20000,1,1,58.0,51.0,49.0,62.0,12.0,58.0,25,25,61,25,25,0.0,25,25,59,59,4,57
20000,1,1,58.0,51.0,49.0,62.0,12.0,58.0,25,25,61,25,25,0.0,25,25,59,59,4,57
20000,1,1,50.0,51.0,48.0,55.0,12.0,66.0,12,13,60,12,12,30.0,12,18,50,66,4,57
20000,1,1,50.0,51.0,48.0,55.0,12.0,66.0,12,13,60,12,12,30.0,12,18,50,66,4,57
500000,2,1,70.0,73.0,67.0,71.0,48.0,78.0,25,25,82,25,40,0.0,25,25,71,79,4,73
0,2,1,72.0,71.0,60.0,69.0,33.0,69.0,25,25,68,25,30,0.0,25,25,75,71,4,69
9000000,4,1,85.0,79.0,71.0,83.0,46.0,89.0,25,30,78,25,35,0.0,25,25,86,90,4,84
9000000,4,1,85.0,79.0,71.0,83.0,46.0,89.0,25,30,78,25,35,0.0,25,25,86,90,4,88
9000000,4,1,85.0,79.0,71.0,83.0,46.0,89.0,25,30,78,25,35,0.0,25,25,86,90,4,89
